Year,States,AgencyName,Population1,TotalOffenses,CrimesAgainstPersons,CrimesAgainstProperty,CrimesAgainstSociety,AssaultOffenses,AggravatedAssault,SimpleAssault,Intimidation,HomicideOffenses,MurderandNonnegligentManslaughter,NegligentManslaughter,JustifiableHomicide,HumanTraffickingOffenses,CommercialSexActs,InvoluntaryServitude,KidppingAbduction,SexOffenses,Rape,Sodomy,SexualAssaultWithanObject,Fondling,Incest,StatutoryRape,Arson,Bribery,BurglaryBreakingEntering,CounterfeitingForgery,DestructionDamageVandalismofProperty,Embezzlement,ExtortionBlackmail,FraudOffenses,FalsePretensesSwindleConfidence.Game,CreditCardAutomatedTellerMachineFraud,Impersotion,WelfareFraud,WireFraud,IdentityTheft,HackingComputerInvasion,LarcenyTheftOffenses,Pocketpicking,Pursestching,Shoplifting,TheftFromBuilding,TheftFromCoinOperatedMachineorDevice,TheftFromMotorVehicle,TheftofMotorVehiclePartsorAccessories,AllOtherLarceny,MotorVehicleTheft,Robbery,StolenPropertyOffenses,AnimalCruelty,DrugrcoticOffenses,DrugrcoticViolations,DrugEquipmentViolations,GamblingOffenses,BettingWagering,OperatingPromotingAssistingGambling,GamblingEquipmentViolations,SportsTampering,PornographyObsceneMaterial,ProstitutionOffenses,Prostitution,AssistingorPromotingProstitution,PurchasingProstitution,WeaponLawViolations
2021,North Dakota,Steele,701,8,1,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,North Dakota,Steele,657,22,10,11,1,10,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,3,1,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2022,Missouri,Steelville,1373,152,63,71,18,56,19,28,9,0,0,0,0,0,0,0,0,7,2,3,0,2,0,0,1,0,13,1,6,0,0,1,0,1,0,0,0,0,0,46,1,0,19,4,0,5,3,14,3,0,0,0,15,9,6,0,0,0,0,0,1,0,0,0,0,2
2020,Washington,Steilacoom,6436,203,52,148,3,41,10,28,3,0,0,0,0,0,0,0,0,11,1,0,1,6,3,0,0,0,14,1,32,0,1,31,5,4,1,0,1,20,0,55,0,2,2,0,0,29,2,20,13,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
2021,Washington,Steilacoom,6460,174,37,134,3,30,8,22,0,0,0,0,0,0,0,0,2,5,4,0,0,1,0,0,0,0,16,2,32,0,1,17,5,3,0,0,1,6,2,52,0,0,1,0,0,19,11,21,11,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0
2022,Washington,Steilacoom,6690,203,31,166,6,28,4,24,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,11,0,42,0,0,27,7,7,0,0,2,10,1,62,0,0,5,0,0,23,9,25,19,0,5,0,3,3,0,0,0,0,0,0,1,0,0,0,0,2
2020,Virginia,Stephens City,2091,29,4,25,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,3,3,0,0,0,0,0,0,11,0,0,5,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Virginia,Stephens City,2136,38,9,27,2,9,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,0,0,3,3,0,0,0,0,0,0,14,0,0,2,2,0,0,2,8,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
2022,Virginia,Stephens City,2109,55,12,43,0,12,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,7,0,0,0,2,0,0,25,0,0,6,1,0,1,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Texas,Stephenville,22221,626,191,326,109,157,24,124,9,0,0,0,0,0,0,0,2,32,25,1,1,5,0,0,0,0,33,15,54,0,0,48,18,26,0,0,0,3,1,160,0,0,37,3,1,37,7,75,14,2,0,2,77,64,13,0,0,0,0,0,12,0,0,0,0,18
2022,Texas,Stephenville,21505,712,221,361,130,186,21,148,17,0,0,0,0,0,0,0,0,35,25,0,1,9,0,0,0,0,37,13,59,0,0,40,29,8,1,0,2,0,0,196,0,0,48,1,0,40,4,103,14,2,0,1,109,89,20,0,0,0,0,0,5,0,0,0,0,15
2020,Colorado,Sterling,14459,1167,193,877,97,159,49,95,15,0,0,0,0,0,0,0,18,16,12,1,0,3,0,0,5,18,93,27,178,0,1,98,25,17,31,0,0,23,2,412,1,0,99,13,0,59,15,225,42,3,0,2,61,45,16,0,0,0,0,0,1,0,0,0,0,33
2020,Kansas,Sterling,2195,79,24,53,2,22,3,11,8,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,3,6,13,0,1,13,10,3,0,0,0,0,0,16,0,0,1,1,0,4,2,8,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
2020,Massachusetts,Sterling,8172,108,26,78,4,22,4,16,2,0,0,0,0,0,0,0,0,4,1,0,0,1,0,2,1,0,5,2,12,2,0,30,12,0,15,0,2,1,0,23,0,0,1,7,0,2,1,12,2,0,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0,1
2021,Colorado,Sterling,14006,1064,189,759,116,140,32,98,10,1,1,0,0,0,0,0,15,33,19,3,0,10,0,1,4,15,85,7,170,0,0,87,26,7,36,0,1,16,1,355,0,0,154,15,0,27,19,140,32,4,0,2,81,54,27,0,0,0,0,0,1,0,0,0,0,32
2021,Massachusetts,Sterling,8270,90,26,57,7,21,2,14,5,0,0,0,0,0,0,0,0,5,1,1,0,0,0,3,0,0,4,1,16,0,2,10,6,1,3,0,0,0,0,16,0,0,2,5,0,1,1,7,3,3,2,1,5,5,0,0,0,0,0,0,0,0,0,0,0,1
2021,Oklahoma,Sterling,775,15,5,10,0,4,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Colorado,Sterling,13713,835,163,553,119,140,30,102,8,0,0,0,0,0,0,0,4,19,8,0,0,11,0,0,4,0,59,7,130,0,1,32,7,5,16,0,0,4,0,293,0,0,106,17,0,25,18,127,25,2,0,0,81,54,27,0,0,0,0,0,10,0,0,0,0,28
2022,Massachusetts,Sterling,8372,88,19,66,3,15,4,6,5,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,1,0,7,2,19,0,0,18,5,1,12,0,0,0,0,17,0,0,0,3,0,1,0,13,1,0,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0
2022,Oklahoma,Sterling,674,18,2,12,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2020,Michigan,Sterling Heights,132745,3722,1362,2118,242,1295,176,617,502,2,2,0,0,0,0,0,1,64,21,7,5,30,0,1,4,0,97,22,333,25,9,507,172,116,36,0,28,154,1,939,2,1,276,174,0,230,118,138,149,22,11,0,201,141,60,1,0,0,1,0,0,0,0,0,0,40
2021,Michigan,Sterling Heights,131911,4136,1708,2088,340,1627,182,808,637,2,2,0,0,0,0,0,2,77,20,11,4,42,0,0,5,0,84,18,351,25,13,461,201,93,45,0,20,98,4,914,1,3,260,169,1,203,161,116,183,21,13,0,254,173,81,0,0,0,0,0,6,0,0,0,0,80
2022,Michigan,Sterling Heights,132393,5028,1843,2616,569,1746,210,887,649,2,2,0,0,0,0,0,4,91,20,13,6,51,1,0,1,1,84,20,357,34,14,588,186,102,25,1,68,203,3,1265,2,4,391,198,0,318,218,134,219,22,11,3,419,299,120,2,1,0,1,0,7,0,0,0,0,138
2021,Ohio,Steubenville,17482,1570,333,797,440,325,22,271,32,2,2,0,0,0,0,0,0,6,2,0,0,4,0,0,3,0,48,6,99,0,0,77,47,10,0,0,18,2,0,540,1,3,321,0,1,28,0,186,14,5,5,1,385,213,172,0,0,0,0,0,1,0,0,0,0,53
2022,Ohio,Steubenville,17869,1430,324,751,355,319,21,278,20,2,2,0,0,0,0,0,1,2,1,0,0,1,0,0,2,0,58,6,61,0,0,54,31,8,0,1,9,5,0,544,0,7,256,4,0,37,8,232,15,6,5,0,319,173,146,0,0,0,0,0,0,0,0,0,0,36
2020,Wisconsin,Stevens Point,25790,813,157,476,180,136,25,96,15,0,0,0,0,0,0,0,2,19,9,0,0,7,0,3,2,0,26,18,128,1,5,61,44,3,3,0,0,11,0,219,0,0,60,5,0,25,6,123,11,0,5,0,164,94,70,0,0,0,0,0,3,0,0,0,0,13
2021,Wisconsin,Stevens Point,25875,916,177,516,223,149,21,117,11,0,0,0,0,0,0,0,6,22,4,0,0,8,0,10,1,0,34,12,134,3,6,54,35,2,1,0,0,16,0,248,0,0,67,9,0,20,25,127,18,1,5,0,203,108,95,0,0,0,0,0,3,0,0,0,0,17
2022,Wisconsin,Stevens Point,25777,820,175,433,212,151,29,98,24,0,0,0,0,0,0,0,4,20,13,0,0,7,0,0,2,0,25,13,108,4,3,39,31,2,1,0,0,5,0,213,0,0,62,10,0,16,22,103,19,2,5,1,184,98,86,0,0,0,0,0,2,0,0,0,0,25
2021,Alabama,Stevenson,1886,195,69,85,41,69,15,33,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,28,1,0,3,1,0,1,0,0,1,0,35,1,0,1,10,0,2,0,21,9,0,2,0,39,22,17,0,0,0,0,0,0,0,0,0,0,2
2022,Alabama,Stevenson,1963,168,71,54,43,70,5,45,20,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,4,14,0,0,4,1,2,1,0,0,0,0,20,1,0,0,2,0,0,0,17,5,1,2,2,40,23,17,0,0,0,0,0,0,0,0,0,0,1
2020,Montana,Stevensville,2100,49,21,25,3,18,7,9,2,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,2,2,6,0,0,1,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,13,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0
2021,Montana,Stevensville,2171,40,13,27,0,12,11,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,5,0,0,3,2,0,0,0,0,1,0,17,0,0,1,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Illinois,Stickney,6462,110,22,73,15,19,2,15,2,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,1,0,10,0,12,0,0,2,2,0,0,0,0,0,0,41,0,0,11,1,0,17,2,10,3,4,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,4
2020,Oklahoma,Stigler,2680,192,54,77,61,51,9,24,18,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,22,0,13,1,0,12,8,1,3,0,0,0,0,26,0,1,4,5,0,6,2,8,3,0,0,0,59,32,27,0,0,0,0,0,0,0,0,0,0,2
2021,Oklahoma,Stigler,2698,121,24,58,39,23,1,13,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,3,14,1,0,14,10,3,1,0,0,0,0,19,0,1,4,1,1,6,0,6,1,0,0,0,39,25,14,0,0,0,0,0,0,0,0,0,0,0
2022,Oklahoma,Stigler,2699,151,31,64,56,30,0,14,16,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,9,2,0,12,7,1,2,0,2,0,0,32,0,0,15,3,1,1,4,8,2,1,0,0,52,31,21,0,0,0,0,0,0,0,0,0,0,4
